Room,Area,Height,VAVmin,VAVmax,Building
CENTER 101,3428,21.0,3500.0,7000.0,Center
CENTER 115,2143,21.0,1290.0,4300.0,Center
CENTER 119,2144,21.0,1290.0,4300.0,Center
GH 242,2956,,935.0,2325.0,GH
LEDDN AUD,1888,,4000.0,12000.0,LEDDN
PCYNH 106,2010,,450.0,1520.0,PCYNH
PETER 110,2933,,,,none
TATA 3201,2093,,1680.0,3200.0,none
TATA 2101,1274,,430.0,960.0,none
TATA2102,1291,,430.0,960.0,none
York 3306,1766,,870.0,1300.0,none
York 3406,1720,,1531.0,1531.0,none
York 4406,1691,,1500.0,1500.0,none
TATA 4401,1238,,,,none
TATA 5600,876,,420.0,840.0,none
